Gene stable ID,Transcript stable ID,Gene name,Gene description,Transcript type,Transcript name,Gene type,Phenotype description,Study external reference
ENSG00000140386,ENST00000567618,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-218,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000562890,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding_CDS_not_defined,SCAPER-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000568382,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-219,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000565372,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-214,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000564177,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000563919,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000140386,ENST00000324767,SCAPER,S-phase cyclin A associated protein in the ER [Source:HGNC Symbol;Acc:HGNC:13081],protein_coding,SCAPER-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000672717,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-222,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000432983,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000673462,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],nonsense_mediated_decay,BBS9-229,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000673230,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-227,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000671890,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-218,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000350941,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000396127,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000355070,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000671871,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-217,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000673431,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-228,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000465037,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000672973,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],nonsense_mediated_decay,BBS9-224,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000433714,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],nonsense_mediated_decay,BBS9-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000671963,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-220,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000242067,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000482941,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000673219,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],nonsense_mediated_decay,BBS9-226,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000673056,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-225,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000671952,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-219,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000442858,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000672453,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-221,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000434373,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000627264,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-216,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000496029,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-214,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000495426,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],retained_intron,BBS9-213,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000489708,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-212,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000498189,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],retained_intron,BBS9-215,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000672758,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding_CDS_not_defined,BBS9-223,protein_coding,Bardet-Biedl syndrome,110
ENSG00000122507,ENST00000425508,BBS9,Bardet-Biedl syndrome 9 [Source:HGNC Symbol;Acc:HGNC:30000],protein_coding,BBS9-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000503565,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding_CDS_not_defined,SCLT1-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000651532,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],nonsense_mediated_decay,SCLT1-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000281142,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000506233,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],retained_intron,SCLT1-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000439369,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000503215,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000502495,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding_CDS_not_defined,SCLT1-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000506368,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000511426,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000151466,ENST00000503401,SCLT1,sodium channel and clathrin linker 1 [Source:HGNC Symbol;Acc:HGNC:26406],protein_coding,SCLT1-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000409354,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],nonsense_mediated_decay,WDPCP-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000272321,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000409199,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000487280,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],retained_intron,WDPCP-215,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000409120,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000398544,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000409562,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000409835,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding_CDS_not_defined,WDPCP-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000417238,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],nonsense_mediated_decay,WDPCP-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000462652,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],retained_intron,WDPCP-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000493315,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],retained_intron,WDPCP-217,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000473678,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-213,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000418148,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],nonsense_mediated_decay,WDPCP-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000490935,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding_CDS_not_defined,WDPCP-216,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000431065,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding,WDPCP-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000467687,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding_CDS_not_defined,WDPCP-212,protein_coding,Bardet-Biedl syndrome,110
ENSG00000143951,ENST00000484073,WDPCP,WD repeat containing planar cell polarity effector [Source:HGNC Symbol;Acc:HGNC:28027],protein_coding_CDS_not_defined,WDPCP-214,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000556077,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],nonsense_mediated_decay,TTC8-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000553718,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],nonsense_mediated_decay,TTC8-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000622513,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-213,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000556567,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],retained_intron,TTC8-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000380656,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000338104,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000346301,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000354441,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000555057,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],nonsense_mediated_decay,TTC8-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000556651,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000554686,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],protein_coding,TTC8-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000556133,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],retained_intron,TTC8-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000165533,ENST00000557580,TTC8,tetratricopeptide repeat domain 8 [Source:HGNC Symbol;Acc:HGNC:20087],nonsense_mediated_decay,TTC8-212,protein_coding,Bardet-Biedl syndrome,110
ENSG00000119401,ENST00000450136,TRIM32,tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380],protein_coding,TRIM32-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000119401,ENST00000373983,TRIM32,tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380],protein_coding,TRIM32-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000119401,ENST00000411410,TRIM32,tripartite motif containing 32 [Source:HGNC Symbol;Acc:HGNC:16380],protein_coding,TRIM32-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000519968,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000433700,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000517444,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000443698,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000648373,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],nonsense_mediated_decay,IFT74-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000380062,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000518614,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000429045,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000517866,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],protein_coding,IFT74-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000494236,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],retained_intron,IFT74-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000096872,ENST00000482986,IFT74,intraflagellar transport 74 [Source:HGNC Symbol;Acc:HGNC:21424],retained_intron,IFT74-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000264499,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],protein_coding,BBS7-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000507814,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],protein_coding,BBS7-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000506636,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],protein_coding,BBS7-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000508536,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],retained_intron,BBS7-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000505692,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],retained_intron,BBS7-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000138686,ENST00000502444,BBS7,Bardet-Biedl syndrome 7 [Source:HGNC Symbol;Acc:HGNC:18758],retained_intron,BBS7-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000179941,ENST00000650064,BBS10,Bardet-Biedl syndrome 10 [Source:HGNC Symbol;Acc:HGNC:26291],protein_coding,BBS10-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000181004,ENST00000542236,BBS12,Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648],protein_coding,BBS12-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000181004,ENST00000314218,BBS12,Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648],protein_coding,BBS12-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000181004,ENST00000433287,BBS12,Bardet-Biedl syndrome 12 [Source:HGNC Symbol;Acc:HGNC:26648],protein_coding,BBS12-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000490065,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-207,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000366541,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding,SDCCAG8-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000491888,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-208,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000482234,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-206,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000476722,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding,SDCCAG8-205,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000435549,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding,SDCCAG8-202,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000496361,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-210,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000463012,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-203,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000493334,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-209,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000463042,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-204,protein_coding,Bardet-Biedl syndrome,110
ENSG00000054282,ENST00000497459,SDCCAG8,SHH signaling and ciliogenesis regulator SDCCAG8 [Source:HGNC Symbol;Acc:HGNC:10671],protein_coding_CDS_not_defined,SDCCAG8-211,protein_coding,Bardet-Biedl syndrome,110
ENSG00000011143,ENST00000678763,MKS1,MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121],retained_intron,MKS1-232,protein_coding,Bardet-Biedl syndrome,110
ENSG00000011143,ENST00000678568,MKS1,MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121],nonsense_mediated_decay,MKS1-230,protein_coding,Bardet-Biedl syndrome,110
ENSG00000011143,ENST00000313863,MKS1,MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121],protein_coding,MKS1-201,protein_coding,Bardet-Biedl syndrome,110
ENSG00000011143,ENST00000393119,MKS1,MKS transition zone complex subunit 1 [Source:HGNC Symbol;Acc:HGNC:7121],protein_coding,MKS1-202,protein_coding,Bardet-Biedl syndrome,110
